augmented_statement,label,prefix,original_statement
I'm 100% certain that Manama is a name of a country.,0,I'm 100% certain that,Manama is a name of a country.
I'm 100% certain that Flying Fish Cove is a name of a country.,0,I'm 100% certain that,Flying Fish Cove is a name of a country.
I'm 100% certain that Jordan is a name of a country.,1,I'm 100% certain that,Jordan is a name of a country.
I'm 100% certain that Malta is a name of a city.,0,I'm 100% certain that,Malta is a name of a city.
I'm 100% certain that Kuwait City is a city in Kuwait,1,I'm 100% certain that,Kuwait City is a city in Kuwait
I'm 100% certain that Central African Republic is a name of a country.,1,I'm 100% certain that,Central African Republic is a name of a country.
I'm 100% certain that Germany is a name of a city.,0,I'm 100% certain that,Germany is a name of a city.
I'm 100% certain that Charlotte Amalie is a city in United States Virgin Islands,1,I'm 100% certain that,Charlotte Amalie is a city in United States Virgin Islands
I'm 100% certain that Funafuti is a name of a city.,1,I'm 100% certain that,Funafuti is a name of a city.
I'm 100% certain that Ashgabat is a name of a country.,0,I'm 100% certain that,Ashgabat is a name of a country.
I'm 100% certain that Dublin is a name of a city.,1,I'm 100% certain that,Dublin is a name of a city.
I'm 100% certain that Sana'a is a name of a city.,1,I'm 100% certain that,Sana'a is a name of a city.
I'm 100% certain that Malawi is a name of a country.,1,I'm 100% certain that,Malawi is a name of a country.
I'm 100% certain that Pyongyang is a city in North Korea,1,I'm 100% certain that,Pyongyang is a city in North Korea
I'm 100% certain that Nouakchott is a city in Cameroon,0,I'm 100% certain that,Nouakchott is a city in Cameroon
I'm 100% certain that Slovakia is a name of a country.,1,I'm 100% certain that,Slovakia is a name of a country.
I'm 100% certain that Thailand is a name of a country.,1,I'm 100% certain that,Thailand is a name of a country.
I'm 100% certain that São Tomé is a city in Puerto Rico,0,I'm 100% certain that,São Tomé is a city in Puerto Rico
I'm 100% certain that Vatican City is a name of a country.,0,I'm 100% certain that,Vatican City is a name of a country.
I'm 100% certain that Bermuda is a name of a country.,1,I'm 100% certain that,Bermuda is a name of a country.
I'm 100% certain that Stepanakert is a name of a city.,1,I'm 100% certain that,Stepanakert is a name of a city.
I'm 100% certain that Singapore is a city in Slovakia,0,I'm 100% certain that,Singapore is a city in Slovakia
I'm 100% certain that São Tomé is a name of a country.,0,I'm 100% certain that,São Tomé is a name of a country.
I'm 100% certain that Fiji is a name of a city.,0,I'm 100% certain that,Fiji is a name of a city.
I'm 100% certain that South Sudan is a name of a city.,0,I'm 100% certain that,South Sudan is a name of a city.
I'm 100% certain that The Valley is a name of a city.,1,I'm 100% certain that,The Valley is a name of a city.
I'm 100% certain that Berlin is a city in Vanuatu,0,I'm 100% certain that,Berlin is a city in Vanuatu
I'm 100% certain that Dili is a name of a country.,0,I'm 100% certain that,Dili is a name of a country.
I'm 100% certain that Gaborone is a city in Botswana,1,I'm 100% certain that,Gaborone is a city in Botswana
I'm 100% certain that Baghdad is a city in Iraq,1,I'm 100% certain that,Baghdad is a city in Iraq
I'm 100% certain that Tbilisi is a city in Israel,0,I'm 100% certain that,Tbilisi is a city in Israel
I'm 100% certain that British Virgin Islands is a name of a country.,1,I'm 100% certain that,British Virgin Islands is a name of a country.
I'm 100% certain that Belgrade is a city in Serbia,1,I'm 100% certain that,Belgrade is a city in Serbia
I'm 100% certain that French Polynesia is a name of a city.,0,I'm 100% certain that,French Polynesia is a name of a city.
I'm 100% certain that Episkopi Cantonment is a name of a country.,0,I'm 100% certain that,Episkopi Cantonment is a name of a country.
I'm 100% certain that Doha is a name of a country.,0,I'm 100% certain that,Doha is a name of a country.
I'm 100% certain that Ouagadougou is a city in Haiti,0,I'm 100% certain that,Ouagadougou is a city in Haiti
I'm 100% certain that Barbados is a name of a city.,0,I'm 100% certain that,Barbados is a name of a city.
I'm 100% certain that Malabo is a city in Ivory Coast,0,I'm 100% certain that,Malabo is a city in Ivory Coast
I'm 100% certain that Sucre is a city in Bolivia,1,I'm 100% certain that,Sucre is a city in Bolivia
I'm 100% certain that Djibouti is a name of a country.,1,I'm 100% certain that,Djibouti is a name of a country.
I'm 100% certain that Kigali is a city in Rwanda,1,I'm 100% certain that,Kigali is a city in Rwanda
I'm 100% certain that Madagascar is a name of a city.,0,I'm 100% certain that,Madagascar is a name of a city.
I'm 100% certain that Montevideo is a name of a city.,1,I'm 100% certain that,Montevideo is a name of a city.
I'm 100% certain that Damascus is a name of a country.,0,I'm 100% certain that,Damascus is a name of a country.
I'm 100% certain that Warsaw is a city in Dominican Republic,0,I'm 100% certain that,Warsaw is a city in Dominican Republic
I'm 100% certain that Malé is a name of a city.,1,I'm 100% certain that,Malé is a name of a city.
I'm 100% certain that Kampala is a name of a city.,1,I'm 100% certain that,Kampala is a name of a city.
I'm 100% certain that Australia is a name of a country.,1,I'm 100% certain that,Australia is a name of a country.
I'm 100% certain that Addis Ababa is a name of a country.,0,I'm 100% certain that,Addis Ababa is a name of a country.
I'm 100% certain that Tripoli is a city in Marshall Islands,0,I'm 100% certain that,Tripoli is a city in Marshall Islands
I'm 100% certain that Moroni is a name of a country.,0,I'm 100% certain that,Moroni is a name of a country.
I'm 100% certain that Vatican City is a city in Gibraltar,0,I'm 100% certain that,Vatican City is a city in Gibraltar
I'm 100% certain that Sudan is a name of a country.,1,I'm 100% certain that,Sudan is a name of a country.
I'm 100% certain that Oslo is a name of a country.,0,I'm 100% certain that,Oslo is a name of a country.
I'm 100% certain that Sucre is a city in Ukraine,0,I'm 100% certain that,Sucre is a city in Ukraine
I'm 100% certain that Belgrade is a city in Guinea-Bissau,0,I'm 100% certain that,Belgrade is a city in Guinea-Bissau
I'm 100% certain that Niamey is a city in Niger,1,I'm 100% certain that,Niamey is a city in Niger
I'm 100% certain that Apia is a name of a city.,1,I'm 100% certain that,Apia is a name of a city.
I'm 100% certain that Pyongyang is a name of a country.,0,I'm 100% certain that,Pyongyang is a name of a country.
I'm 100% certain that The Valley is a city in Anguilla,1,I'm 100% certain that,The Valley is a city in Anguilla
I'm 100% certain that West Island is a city in Belize,0,I'm 100% certain that,West Island is a city in Belize
I'm 100% certain that Hanga Roa is a city in Easter Island,1,I'm 100% certain that,Hanga Roa is a city in Easter Island
I'm 100% certain that Nigeria is a name of a country.,1,I'm 100% certain that,Nigeria is a name of a country.
I'm 100% certain that Ethiopia is a name of a country.,1,I'm 100% certain that,Ethiopia is a name of a country.
I'm 100% certain that Tiraspol is a name of a country.,0,I'm 100% certain that,Tiraspol is a name of a country.
I'm 100% certain that Belgium is a name of a city.,0,I'm 100% certain that,Belgium is a name of a city.
I'm 100% certain that Plymouth is a name of a country.,0,I'm 100% certain that,Plymouth is a name of a country.
I'm 100% certain that Antananarivo is a name of a country.,0,I'm 100% certain that,Antananarivo is a name of a country.
I'm 100% certain that Belize is a name of a country.,1,I'm 100% certain that,Belize is a name of a country.
I'm 100% certain that Grytviken is a name of a city.,1,I'm 100% certain that,Grytviken is a name of a city.
I'm 100% certain that Warsaw is a city in South Georgia and the South Sandwich Islands,0,I'm 100% certain that,Warsaw is a city in South Georgia and the South Sandwich Islands
I'm 100% certain that Mbabane is a city in Kenya,0,I'm 100% certain that,Mbabane is a city in Kenya
I'm 100% certain that Seychelles is a name of a city.,0,I'm 100% certain that,Seychelles is a name of a city.
I'm 100% certain that Georgia is a name of a country.,1,I'm 100% certain that,Georgia is a name of a country.
I'm 100% certain that San Marino is a name of a country.,1,I'm 100% certain that,San Marino is a name of a country.
I'm 100% certain that Harare is a city in Zimbabwe,1,I'm 100% certain that,Harare is a city in Zimbabwe
I'm 100% certain that Tashkent is a city in Uzbekistan,1,I'm 100% certain that,Tashkent is a city in Uzbekistan
I'm 100% certain that Kingstown is a name of a country.,0,I'm 100% certain that,Kingstown is a name of a country.
I'm 100% certain that Conakry is a city in Guinea,1,I'm 100% certain that,Conakry is a city in Guinea
I'm 100% certain that Kingstown is a city in Fiji,0,I'm 100% certain that,Kingstown is a city in Fiji
I'm 100% certain that Quito is a city in Ecuador,1,I'm 100% certain that,Quito is a city in Ecuador
I'm 100% certain that Monrovia is a city in Liberia,1,I'm 100% certain that,Monrovia is a city in Liberia
I'm 100% certain that Sint Maarten is a name of a country.,1,I'm 100% certain that,Sint Maarten is a name of a country.
I'm 100% certain that Bandar Seri Begawan is a name of a country.,0,I'm 100% certain that,Bandar Seri Begawan is a name of a country.
I'm 100% certain that Montserrat is a name of a country.,1,I'm 100% certain that,Montserrat is a name of a country.
I'm 100% certain that Zagreb is a city in Croatia,1,I'm 100% certain that,Zagreb is a city in Croatia
I'm 100% certain that Kigali is a city in Serbia,0,I'm 100% certain that,Kigali is a city in Serbia
I'm 100% certain that Libreville is a name of a city.,1,I'm 100% certain that,Libreville is a name of a city.
I'm 100% certain that Porto-Novo is a name of a city.,1,I'm 100% certain that,Porto-Novo is a name of a city.
I'm 100% certain that Isle of Man is a name of a city.,0,I'm 100% certain that,Isle of Man is a name of a city.
I'm 100% certain that Swaziland is a name of a country.,1,I'm 100% certain that,Swaziland is a name of a country.
I'm 100% certain that Maputo is a name of a country.,0,I'm 100% certain that,Maputo is a name of a country.
I'm 100% certain that George Town is a city in Cayman Islands,1,I'm 100% certain that,George Town is a city in Cayman Islands
I'm 100% certain that Mongolia is a name of a country.,1,I'm 100% certain that,Mongolia is a name of a country.
I'm 100% certain that Managua is a city in Nicaragua,1,I'm 100% certain that,Managua is a city in Nicaragua
I'm 100% certain that San Marino is a name of a city.,0,I'm 100% certain that,San Marino is a name of a city.
I'm 100% certain that Germany is a name of a country.,1,I'm 100% certain that,Germany is a name of a country.
I'm 100% certain that Sri Jayawardenepura Kotte is a city in United Arab Emirates,0,I'm 100% certain that,Sri Jayawardenepura Kotte is a city in United Arab Emirates
I'm 100% certain that Rwanda is a name of a city.,0,I'm 100% certain that,Rwanda is a name of a city.
I'm 100% certain that Nairobi is a name of a city.,1,I'm 100% certain that,Nairobi is a name of a city.
I'm 100% certain that Monrovia is a name of a country.,0,I'm 100% certain that,Monrovia is a name of a country.
I'm 100% certain that Hargeisa is a name of a city.,1,I'm 100% certain that,Hargeisa is a name of a city.
I'm 100% certain that Mogadishu is a name of a city.,1,I'm 100% certain that,Mogadishu is a name of a city.
I'm 100% certain that South Korea is a name of a country.,1,I'm 100% certain that,South Korea is a name of a country.
I'm 100% certain that Kiev is a city in Ukraine,1,I'm 100% certain that,Kiev is a city in Ukraine
I'm 100% certain that Tirana is a city in Japan,0,I'm 100% certain that,Tirana is a city in Japan
I'm 100% certain that Jamestown is a city in Honduras,0,I'm 100% certain that,Jamestown is a city in Honduras
I'm 100% certain that Chile is a name of a country.,1,I'm 100% certain that,Chile is a name of a country.
I'm 100% certain that Italy is a name of a country.,1,I'm 100% certain that,Italy is a name of a country.
I'm 100% certain that Stockholm is a name of a country.,0,I'm 100% certain that,Stockholm is a name of a country.
I'm 100% certain that Guatemala is a name of a city.,0,I'm 100% certain that,Guatemala is a name of a city.
I'm 100% certain that Stockholm is a city in India,0,I'm 100% certain that,Stockholm is a city in India
I'm 100% certain that Lusaka is a city in Zambia,1,I'm 100% certain that,Lusaka is a city in Zambia
I'm 100% certain that São Tomé is a name of a city.,1,I'm 100% certain that,São Tomé is a name of a city.
I'm 100% certain that Helsinki is a city in Finland,1,I'm 100% certain that,Helsinki is a city in Finland
I'm 100% certain that Saint Pierre and Miquelon is a name of a country.,1,I'm 100% certain that,Saint Pierre and Miquelon is a name of a country.
I'm 100% certain that Harare is a name of a city.,1,I'm 100% certain that,Harare is a name of a city.
I'm 100% certain that Grenada is a name of a country.,1,I'm 100% certain that,Grenada is a name of a country.
I'm 100% certain that Kingston is a city in Jamaica,1,I'm 100% certain that,Kingston is a city in Jamaica
I'm 100% certain that Juba is a city in Benin,0,I'm 100% certain that,Juba is a city in Benin
I'm 100% certain that Ljubljana is a name of a city.,1,I'm 100% certain that,Ljubljana is a name of a city.
I'm 100% certain that Somaliland is a name of a country.,1,I'm 100% certain that,Somaliland is a name of a country.
I'm 100% certain that Hanga Roa is a name of a country.,0,I'm 100% certain that,Hanga Roa is a name of a country.
I'm 100% certain that Sri Jayawardenepura Kotte is a name of a city.,1,I'm 100% certain that,Sri Jayawardenepura Kotte is a name of a city.
I'm 100% certain that Cairo is a city in Egypt,1,I'm 100% certain that,Cairo is a city in Egypt
I'm 100% certain that Astana is a city in Canada,0,I'm 100% certain that,Astana is a city in Canada
I'm 100% certain that Canberra is a name of a country.,0,I'm 100% certain that,Canberra is a name of a country.
I'm 100% certain that Malabo is a city in Equatorial Guinea,1,I'm 100% certain that,Malabo is a city in Equatorial Guinea
I'm 100% certain that Costa Rica is a name of a country.,1,I'm 100% certain that,Costa Rica is a name of a country.
I'm 100% certain that Malaysia is a name of a city.,0,I'm 100% certain that,Malaysia is a name of a city.
I'm 100% certain that Skopje is a name of a country.,0,I'm 100% certain that,Skopje is a name of a country.
I'm 100% certain that United Kingdom is a name of a city.,0,I'm 100% certain that,United Kingdom is a name of a city.
I'm 100% certain that Angola is a name of a country.,1,I'm 100% certain that,Angola is a name of a country.
I'm 100% certain that Amsterdam is a name of a city.,1,I'm 100% certain that,Amsterdam is a name of a city.
I'm 100% certain that Sukhumi is a city in Abkhazia,1,I'm 100% certain that,Sukhumi is a city in Abkhazia
I'm 100% certain that Liechtenstein is a name of a city.,0,I'm 100% certain that,Liechtenstein is a name of a city.
I'm 100% certain that Sweden is a name of a country.,1,I'm 100% certain that,Sweden is a name of a country.
I'm 100% certain that Guyana is a name of a city.,0,I'm 100% certain that,Guyana is a name of a city.
I'm 100% certain that St. Helier is a name of a city.,1,I'm 100% certain that,St. Helier is a name of a city.
I'm 100% certain that Stepanakert is a name of a country.,0,I'm 100% certain that,Stepanakert is a name of a country.
I'm 100% certain that Nassau is a name of a country.,0,I'm 100% certain that,Nassau is a name of a country.
I'm 100% certain that Brazil is a name of a city.,0,I'm 100% certain that,Brazil is a name of a city.
I'm 100% certain that Tegucigalpa is a name of a city.,1,I'm 100% certain that,Tegucigalpa is a name of a city.
I'm 100% certain that Astana is a city in Kazakhstan,1,I'm 100% certain that,Astana is a city in Kazakhstan
I'm 100% certain that Dili is a city in East Timor,1,I'm 100% certain that,Dili is a city in East Timor
I'm 100% certain that Singapore is a name of a country.,0,I'm 100% certain that,Singapore is a name of a country.
I'm 100% certain that Palikir is a city in Federated States of Micronesia,1,I'm 100% certain that,Palikir is a city in Federated States of Micronesia
I'm 100% certain that Bhutan is a name of a country.,1,I'm 100% certain that,Bhutan is a name of a country.
I'm 100% certain that Episkopi Cantonment is a city in Aruba,0,I'm 100% certain that,Episkopi Cantonment is a city in Aruba
I'm 100% certain that Oranjestad is a name of a country.,0,I'm 100% certain that,Oranjestad is a name of a country.
I'm 100% certain that Tunis is a city in Ecuador,0,I'm 100% certain that,Tunis is a city in Ecuador
I'm 100% certain that Malta is a name of a country.,1,I'm 100% certain that,Malta is a name of a country.
I'm 100% certain that Lomé is a name of a country.,0,I'm 100% certain that,Lomé is a name of a country.
I'm 100% certain that Stanley is a name of a city.,1,I'm 100% certain that,Stanley is a name of a city.
I'm 100% certain that Honiara is a city in Solomon Islands,1,I'm 100% certain that,Honiara is a city in Solomon Islands
I'm 100% certain that Philipsburg is a name of a country.,0,I'm 100% certain that,Philipsburg is a name of a country.
I'm 100% certain that Tskhinvali is a city in New Zealand,0,I'm 100% certain that,Tskhinvali is a city in New Zealand
I'm 100% certain that Pristina is a city in Kosovo,1,I'm 100% certain that,Pristina is a city in Kosovo
I'm 100% certain that Oman is a name of a country.,1,I'm 100% certain that,Oman is a name of a country.
I'm 100% certain that Kuwait City is a city in Swaziland,0,I'm 100% certain that,Kuwait City is a city in Swaziland
I'm 100% certain that India is a name of a country.,1,I'm 100% certain that,India is a name of a country.
I'm 100% certain that Ljubljana is a name of a country.,0,I'm 100% certain that,Ljubljana is a name of a country.
I'm 100% certain that Vietnam is a name of a city.,0,I'm 100% certain that,Vietnam is a name of a city.
I'm 100% certain that Ulan Bator is a city in Cocos Islands,0,I'm 100% certain that,Ulan Bator is a city in Cocos Islands
I'm 100% certain that Vaduz is a name of a country.,0,I'm 100% certain that,Vaduz is a name of a country.
I'm 100% certain that Alofi is a city in Niue,1,I'm 100% certain that,Alofi is a city in Niue
I'm 100% certain that Nouakchott is a city in Bolivia,0,I'm 100% certain that,Nouakchott is a city in Bolivia
I'm 100% certain that Bissau is a city in Sri Lanka,0,I'm 100% certain that,Bissau is a city in Sri Lanka
I'm 100% certain that Turkmenistan is a name of a country.,1,I'm 100% certain that,Turkmenistan is a name of a country.
I'm 100% certain that Tashkent is a city in Cape Verde,0,I'm 100% certain that,Tashkent is a city in Cape Verde
I'm 100% certain that San Salvador is a city in Maldives,0,I'm 100% certain that,San Salvador is a city in Maldives
I'm 100% certain that São Tomé is a city in São Tomé and Príncipe,1,I'm 100% certain that,São Tomé is a city in São Tomé and Príncipe
I'm 100% certain that Benin is a name of a city.,0,I'm 100% certain that,Benin is a name of a city.
I'm 100% certain that Cambodia is a name of a country.,1,I'm 100% certain that,Cambodia is a name of a country.
I'm 100% certain that Tripoli is a city in Senegal,0,I'm 100% certain that,Tripoli is a city in Senegal
I'm 100% certain that Brazzaville is a city in Republic of the Congo,1,I'm 100% certain that,Brazzaville is a city in Republic of the Congo
I'm 100% certain that Gibraltar is a city in Kuwait,0,I'm 100% certain that,Gibraltar is a city in Kuwait
I'm 100% certain that Singapore is a name of a city.,0,I'm 100% certain that,Singapore is a name of a city.
I'm 100% certain that Federated States of Micronesia is a name of a city.,0,I'm 100% certain that,Federated States of Micronesia is a name of a city.
I'm 100% certain that Sri Jayawardenepura Kotte is a city in Yemen,0,I'm 100% certain that,Sri Jayawardenepura Kotte is a city in Yemen
I'm 100% certain that Algiers is a name of a city.,1,I'm 100% certain that,Algiers is a name of a city.
I'm 100% certain that Bamako is a name of a country.,0,I'm 100% certain that,Bamako is a name of a country.
I'm 100% certain that Egypt is a name of a city.,0,I'm 100% certain that,Egypt is a name of a city.
I'm 100% certain that Guam is a name of a country.,1,I'm 100% certain that,Guam is a name of a country.
I'm 100% certain that Dodoma is a name of a city.,1,I'm 100% certain that,Dodoma is a name of a city.
I'm 100% certain that Marigot is a city in Jordan,0,I'm 100% certain that,Marigot is a city in Jordan
I'm 100% certain that Curaçao is a name of a city.,0,I'm 100% certain that,Curaçao is a name of a city.
I'm 100% certain that Comoros is a name of a country.,1,I'm 100% certain that,Comoros is a name of a country.
I'm 100% certain that Sofia is a name of a city.,1,I'm 100% certain that,Sofia is a name of a city.
I'm 100% certain that Tbilisi is a city in Turkey,0,I'm 100% certain that,Tbilisi is a city in Turkey
I'm 100% certain that Doha is a city in Iraq,0,I'm 100% certain that,Doha is a city in Iraq
I'm 100% certain that Phnom Penh is a name of a country.,0,I'm 100% certain that,Phnom Penh is a name of a country.
I'm 100% certain that Nuku?alofa is a name of a city.,1,I'm 100% certain that,Nuku?alofa is a name of a city.
I'm 100% certain that Tirana is a city in Faroe Islands,0,I'm 100% certain that,Tirana is a city in Faroe Islands
I'm 100% certain that Georgetown is a name of a city.,1,I'm 100% certain that,Georgetown is a name of a city.
I'm 100% certain that Adamstown is a city in Pitcairn Islands,1,I'm 100% certain that,Adamstown is a city in Pitcairn Islands
I'm 100% certain that Port Vila is a city in Nicaragua,0,I'm 100% certain that,Port Vila is a city in Nicaragua
I'm 100% certain that Yamoussoukro is a name of a city.,1,I'm 100% certain that,Yamoussoukro is a name of a city.
I'm 100% certain that Pristina is a name of a country.,0,I'm 100% certain that,Pristina is a name of a country.
I'm 100% certain that Bridgetown is a city in Barbados,1,I'm 100% certain that,Bridgetown is a city in Barbados
I'm 100% certain that Panama City is a name of a city.,1,I'm 100% certain that,Panama City is a name of a city.
I'm 100% certain that Republic of the Congo is a name of a country.,1,I'm 100% certain that,Republic of the Congo is a name of a country.
I'm 100% certain that Chad is a name of a city.,0,I'm 100% certain that,Chad is a name of a city.
I'm 100% certain that Russia is a name of a country.,1,I'm 100% certain that,Russia is a name of a country.
I'm 100% certain that Avarua is a city in Nigeria,0,I'm 100% certain that,Avarua is a city in Nigeria
I'm 100% certain that Luxembourg is a name of a country.,0,I'm 100% certain that,Luxembourg is a name of a country.
I'm 100% certain that Djibouti is a name of a city.,1,I'm 100% certain that,Djibouti is a name of a city.
I'm 100% certain that Cockburn Town is a city in Turks and Caicos Islands,1,I'm 100% certain that,Cockburn Town is a city in Turks and Caicos Islands
I'm 100% certain that Luanda is a name of a country.,0,I'm 100% certain that,Luanda is a name of a country.
I'm 100% certain that Tallinn is a name of a country.,0,I'm 100% certain that,Tallinn is a name of a country.
I'm 100% certain that Luxembourg is a name of a city.,0,I'm 100% certain that,Luxembourg is a name of a city.
I'm 100% certain that Vietnam is a name of a country.,1,I'm 100% certain that,Vietnam is a name of a country.
I'm 100% certain that New Delhi is a name of a country.,0,I'm 100% certain that,New Delhi is a name of a country.
I'm 100% certain that Ashgabat is a name of a city.,1,I'm 100% certain that,Ashgabat is a name of a city.
I'm 100% certain that Algeria is a name of a country.,1,I'm 100% certain that,Algeria is a name of a country.
I'm 100% certain that Bratislava is a city in Slovakia,1,I'm 100% certain that,Bratislava is a city in Slovakia
I'm 100% certain that Monaco is a city in Monaco,1,I'm 100% certain that,Monaco is a city in Monaco
I'm 100% certain that Saint Helena is a name of a city.,0,I'm 100% certain that,Saint Helena is a name of a city.
I'm 100% certain that Grytviken is a name of a country.,0,I'm 100% certain that,Grytviken is a name of a country.
I'm 100% certain that Skopje is a city in Macedonia,1,I'm 100% certain that,Skopje is a city in Macedonia
I'm 100% certain that San José is a city in Costa Rica,1,I'm 100% certain that,San José is a city in Costa Rica
I'm 100% certain that New Delhi is a city in India,1,I'm 100% certain that,New Delhi is a city in India
I'm 100% certain that Helsinki is a name of a country.,0,I'm 100% certain that,Helsinki is a name of a country.
I'm 100% certain that Slovenia is a name of a city.,0,I'm 100% certain that,Slovenia is a name of a city.
I'm 100% certain that Ouagadougou is a city in Burkina Faso,1,I'm 100% certain that,Ouagadougou is a city in Burkina Faso
I'm 100% certain that Quito is a name of a country.,0,I'm 100% certain that,Quito is a name of a country.
I'm 100% certain that Freetown is a name of a city.,1,I'm 100% certain that,Freetown is a name of a city.
I'm 100% certain that London is a city in United Kingdom,1,I'm 100% certain that,London is a city in United Kingdom
I'm 100% certain that Yamoussoukro is a name of a country.,0,I'm 100% certain that,Yamoussoukro is a name of a country.
I'm 100% certain that Nouakchott is a city in Lebanon,0,I'm 100% certain that,Nouakchott is a city in Lebanon
I'm 100% certain that Porto-Novo is a city in Norfolk Island,0,I'm 100% certain that,Porto-Novo is a city in Norfolk Island
I'm 100% certain that Democratic Republic of the Congo is a name of a city.,0,I'm 100% certain that,Democratic Republic of the Congo is a name of a city.
I'm 100% certain that Belarus is a name of a city.,0,I'm 100% certain that,Belarus is a name of a city.
I'm 100% certain that Thimphu is a city in Qatar,0,I'm 100% certain that,Thimphu is a city in Qatar
I'm 100% certain that Finland is a name of a city.,0,I'm 100% certain that,Finland is a name of a city.
I'm 100% certain that French Guiana is a name of a country.,1,I'm 100% certain that,French Guiana is a name of a country.
I'm 100% certain that Algeria is a name of a city.,0,I'm 100% certain that,Algeria is a name of a city.
I'm 100% certain that Prague is a name of a country.,0,I'm 100% certain that,Prague is a name of a country.
I'm 100% certain that Washington D.C. is a city in United States,1,I'm 100% certain that,Washington D.C. is a city in United States
I'm 100% certain that N'Djamena is a city in Eritrea,0,I'm 100% certain that,N'Djamena is a city in Eritrea
I'm 100% certain that Malé is a name of a country.,0,I'm 100% certain that,Malé is a name of a country.
I'm 100% certain that Manila is a city in Philippines,1,I'm 100% certain that,Manila is a city in Philippines
I'm 100% certain that Avarua is a name of a city.,1,I'm 100% certain that,Avarua is a name of a city.
I'm 100% certain that Madagascar is a name of a country.,1,I'm 100% certain that,Madagascar is a name of a country.
I'm 100% certain that Taipei is a city in Taiwan,1,I'm 100% certain that,Taipei is a city in Taiwan
I'm 100% certain that Botswana is a name of a city.,0,I'm 100% certain that,Botswana is a name of a city.
I'm 100% certain that Greenland is a name of a country.,1,I'm 100% certain that,Greenland is a name of a country.
I'm 100% certain that Asunción is a name of a country.,0,I'm 100% certain that,Asunción is a name of a country.
I'm 100% certain that Ouagadougou is a name of a country.,0,I'm 100% certain that,Ouagadougou is a name of a country.
I'm 100% certain that Djibouti is a city in Djibouti,1,I'm 100% certain that,Djibouti is a city in Djibouti
I'm 100% certain that San Juan is a city in Puerto Rico,1,I'm 100% certain that,San Juan is a city in Puerto Rico
I'm 100% certain that Kiev is a name of a country.,0,I'm 100% certain that,Kiev is a name of a country.
I'm 100% certain that Khartoum is a city in Sudan,1,I'm 100% certain that,Khartoum is a city in Sudan
I'm 100% certain that Kingston is a name of a city.,1,I'm 100% certain that,Kingston is a name of a city.
I'm 100% certain that Kuala Lumpur is a city in Croatia,0,I'm 100% certain that,Kuala Lumpur is a city in Croatia
I'm 100% certain that Hungary is a name of a city.,0,I'm 100% certain that,Hungary is a name of a city.
I'm 100% certain that Tashkent is a name of a country.,0,I'm 100% certain that,Tashkent is a name of a country.
I'm 100% certain that Yerevan is a name of a country.,0,I'm 100% certain that,Yerevan is a name of a country.
I'm 100% certain that Maputo is a name of a city.,1,I'm 100% certain that,Maputo is a name of a city.
I'm 100% certain that Indonesia is a name of a city.,0,I'm 100% certain that,Indonesia is a name of a city.
I'm 100% certain that Antananarivo is a city in Anguilla,0,I'm 100% certain that,Antananarivo is a city in Anguilla
I'm 100% certain that Solomon Islands is a name of a city.,0,I'm 100% certain that,Solomon Islands is a name of a city.
I'm 100% certain that Cyprus is a name of a city.,0,I'm 100% certain that,Cyprus is a name of a city.
I'm 100% certain that Sudan is a name of a city.,0,I'm 100% certain that,Sudan is a name of a city.
I'm 100% certain that Havana is a name of a country.,0,I'm 100% certain that,Havana is a name of a country.
I'm 100% certain that St. Pierre is a city in Saint Pierre and Miquelon,1,I'm 100% certain that,St. Pierre is a city in Saint Pierre and Miquelon
I'm 100% certain that Porto-Novo is a city in Benin,1,I'm 100% certain that,Porto-Novo is a city in Benin
I'm 100% certain that Stockholm is a city in Sweden,1,I'm 100% certain that,Stockholm is a city in Sweden
I'm 100% certain that Freetown is a city in Lesotho,0,I'm 100% certain that,Freetown is a city in Lesotho
I'm 100% certain that Marigot is a name of a country.,0,I'm 100% certain that,Marigot is a name of a country.
I'm 100% certain that New Caledonia is a name of a city.,0,I'm 100% certain that,New Caledonia is a name of a city.
I'm 100% certain that Abuja is a name of a country.,0,I'm 100% certain that,Abuja is a name of a country.
I'm 100% certain that Tbilisi is a city in Cayman Islands,0,I'm 100% certain that,Tbilisi is a city in Cayman Islands
I'm 100% certain that Pago Pago is a name of a city.,1,I'm 100% certain that,Pago Pago is a name of a city.
I'm 100% certain that Poland is a name of a city.,0,I'm 100% certain that,Poland is a name of a city.
I'm 100% certain that Bangkok is a name of a country.,0,I'm 100% certain that,Bangkok is a name of a country.
I'm 100% certain that Iraq is a name of a country.,1,I'm 100% certain that,Iraq is a name of a country.
I'm 100% certain that Tanzania is a name of a country.,1,I'm 100% certain that,Tanzania is a name of a country.
I'm 100% certain that Riga is a name of a country.,0,I'm 100% certain that,Riga is a name of a country.
I'm 100% certain that Warsaw is a name of a city.,1,I'm 100% certain that,Warsaw is a name of a city.
I'm 100% certain that Vientiane is a city in Laos,1,I'm 100% certain that,Vientiane is a city in Laos
I'm 100% certain that Lilongwe is a name of a country.,0,I'm 100% certain that,Lilongwe is a name of a country.
I'm 100% certain that N'Djamena is a name of a country.,0,I'm 100% certain that,N'Djamena is a name of a country.
I'm 100% certain that Antigua and Barbuda is a name of a country.,1,I'm 100% certain that,Antigua and Barbuda is a name of a country.
I'm 100% certain that Kosovo is a name of a city.,0,I'm 100% certain that,Kosovo is a name of a city.
